Timestamp,KO,KD,KK,KM,KW,NO,ND,NK,NM,NW,PO,PD,PK,PM,PW,TO,TD,TK,TM,TW
11/01/2016 23:39:39,3,3,3,3,3,5,2,3,2,3,3,4,3,3,2,5,2,2,2,2
11/01/2016 23:51:06,5,4,7,6,6,4,6,7,3,6,2,4,5,3,3,2,4,6,5,3
12/01/2016 00:32:33,4,2,3,2,5,6,3,5,3,4,4,4,4,2,2,5,1,1,2,1
12/01/2016 00:35:12,4,2,3,5,3,4,5,6,4,5,4,7,7,5,7,4,1,2,3,2
12/01/2016 01:14:38,3,5,3,1,6,3,5,6,2,6,2,5,6,1,6,5,1,1,1,4
12/01/2016 01:18:58,4,5,5,3,6,4,3,5,3,5,1,4,5,3,3,2,3,5,4,5
12/01/2016 02:19:53,1,1,2,1,3,4,1,2,1,3,5,3,1,1,5,1,3,3,2,1
12/01/2016 02:27:20,5,2,3,2,5,2,1,4,1,4,1,1,5,1,2,1,1,3,2,3
12/01/2016 02:40:07,5,2,3,4,6,6,3,4,4,6,2,4,5,3,5,3,2,4,4,5
12/01/2016 06:51:48,6,3,4,5,6,5,3,4,4,5,2,3,6,5,5,2,2,5,4,3
12/01/2016 07:43:27,5,3,4,4,5,4,1,5,2,3,1,2,4,2,2,6,1,4,2,3
12/01/2016 08:28:55,3,1,3,4,4,3,1,4,3,2,2,3,3,2,3,4,1,2,3,2
12/01/2016 08:59:26,5,5,5,4,5,6,3,4,3,5,3,4,6,3,3,3,2,4,4,4
12/01/2016 09:06:36,3,4,5,4,6,4,4,5,4,5,3,4,5,4,4,3,3,4,5,4
12/01/2016 09:36:41,3,2,4,1,5,7,1,5,3,7,1,1,5,1,1,1,1,1,1,1
12/01/2016 10:13:00,3,3,4,2,4,5,3,4,3,3,3,4,4,2,3,3,1,2,1,1
12/01/2016 10:27:11,3,3,3,2,3,4,2,3,2,4,3,4,4,2,3,5,2,2,3,2
12/01/2016 11:59:47,2,2,4,3,1,5,3,5,4,5,5,6,4,3,5,4,3,2,1,1
12/01/2016 12:10:23,3,2,5,2,5,4,2,5,2,4,3,2,6,1,3,3,1,3,3,3
12/01/2016 13:33:42,5,2,3,3,7,6,2,4,2,5,4,2,5,3,2,4,1,2,3,5
12/01/2016 13:58:12,4,5,4,2,5,4,2,3,2,4,2,2,4,2,3,4,3,4,2,3
12/01/2016 15:04:05,6,2,4,5,4,4,2,4,3,4,2,1,2,1,2,5,2,3,3,3
12/01/2016 15:48:12,5,2,5,2,5,6,2,5,2,5,2,3,4,1,3,2,1,4,2,1
12/01/2016 20:33:50,3,2,5,4,5,4,3,5,3,5,3,3,5,1,4,3,1,4,2,3
12/01/2016 21:47:39,5,2,3,2,4,6,2,3,2,1,2,4,5,3,3,3,1,5,4,6
13/01/2016 22:42:41,4,2,3,4,3,6,1,2,2,3,2,3,2,4,2,4,1,1,1,1
14/01/2016 23:35:11,4,2,3,2,4,5,2,4,3,3,4,4,5,1,3,6,1,3,3,2
17/01/2016 00:07:08,3,2,3,3,5,6,3,4,4,6,4,2,4,1,3,5,1,2,1,1
